,,train_name,station_name,station_code,id,train_number,departure
,,Pune-Daund- Baramati Passenger,PUNE JN,PUNE,16150,51451,07:10:00
,,Mumbai Aurangabad Jan Shatabdi,MUMBAI CST,CSTM,236156,12071,13:50:00
,,Dornakal Manuguru Passenger,DORNAKAL JN,DKJ,321645,57139,03:00:00
,,Pune -Shree Chatrapati Shahu M(T) Kolhapur Pass,PUNE JN,PUNE,15228,51409,09:15:00
,,Chengulpet Chennai Beach EMU,CHENGALPATTU,CGL,310369,40524,08:35:00
,,Barbil Howrah Janshatabdi,Barbil,BBN,108579,12022,13:45:00
,,Howrah Panskura EMU,HOWRAH JN,HWH,329603,38433,13:05:00
,,Saharsa-Barauni Express,SAHARSA JN,SHC,295947,15275,18:00:00
,,KACHEGUDA - AKOLA Intercity Exp,KACHEGUDA,KCG,440387,17639,07:30:00
,,Una-New Delhi Janshatabdi,Una Himachal,UHL,59096,12058,05:00:00
,,Kabakaputtur Passenger,MANGALORE CNTL,MAQ,302198,56645,18:20:00
,,Ujjain Nagda Passenger,UJJAIN JN,UJN,289594,59318,07:20:00
,,Mokameh Howrah Passenger,MOKAMEH JN,MKA,333005,53050,12:10:00
,,Hubli Bangalore Janshatabdi,HUBLI JN,UBL,293650,12080,14:00:00
,,Kumbh Express,HARIDWAR JN,HW,302578,12370,23:55:00
,,Mahesana Ahmedabad InterCity,MAHESANA JN,MSH,296697,19915,18:15:00
,,Guwahati Silghat Town Passenger,GUWAHATI,GHY,313186,55607,15:45:00
,,MUMBAI LTT - FAIZABAD Saket Exp,LOKMANYA TILAK TERM,LTT,521006,11067,05:20:00
,,Mhow Indore MG Fast Passenger,Mhow,MHOW,315861,52982,16:20:00
,,Mathura Ratlam Passenger,MATHURA JN,MTJ,296627,59356,05:15:00
,,Mysore - Talguppa Intercity Express,MYSORE JN,MYS,303596,16206,06:00:00
,,Amritsar - Jaipur Express,AMRITSAR JN,ASR,342295,19772,14:30:00
,,Malwa Express,INDORE JN BG,INDB,309061,12919,12:25:00
,,Santragachi-Tirupati Superfast Express,SANTRAGACHI JN,SRC,296769,22855,16:05:00
,,AKOLA - KACHEGUDA Intercity Exp,AKOLA JN,AK,440302,17640,09:30:00
,,Pilibhit Lakhimpur Passenger,PILIBHIT JN,PBE,342280,52225,22:00:00
